vm_id,cpu_cores,ram,bandwidth_req,net_1_load,net_1_latency,net_1_bandwidth_avail,net_2_load,net_2_latency,net_2_bandwidth_avail,net_3_load,net_3_latency,net_3_bandwidth_avail,net_4_load,net_4_latency,net_4_bandwidth_avail,net_5_load,net_5_latency,net_5_bandwidth_avail,net_6_load,net_6_latency,net_6_bandwidth_avail,net_7_load,net_7_latency,net_7_bandwidth_avail,net_8_load,net_8_latency,net_8_bandwidth_avail,net_9_load,net_9_latency,net_9_bandwidth_avail,net_10_load,net_10_latency,net_10_bandwidth_avail,net_11_load,net_11_latency,net_11_bandwidth_avail,net_12_load,net_12_latency,net_12_bandwidth_avail,net_13_load,net_13_latency,net_13_bandwidth_avail,net_14_load,net_14_latency,net_14_bandwidth_avail,net_15_load,net_15_latency,net_15_bandwidth_avail,net_16_load,net_16_latency,net_16_bandwidth_avail,net_17_load,net_17_latency,net_17_bandwidth_avail,net_18_load,net_18_latency,net_18_bandwidth_avail,net_19_load,net_19_latency,net_19_bandwidth_avail,net_20_load,net_20_latency,net_20_bandwidth_avail,label_network_id,task_completion_time,throughput_achieved,task_type
201,2,1024,87,0.15,7.26,1034,0.00,5.02,1093,0.17,7.59,922,0.01,5.12,900,0.19,7.83,893,0.28,14.23,1025,0.09,11.32,1155,0.11,11.63,1018,0.19,12.84,1016,0.26,13.86,893,0.04,10.61,1164,0.09,11.36,1188,0.14,12.03,981,0.09,11.36,936,0.08,11.19,1004,0.22,23.37,819,0.13,21.94,1003,0.20,23.05,1096,0.16,22.43,1152,0.23,23.38,912,2,5.00,84.56,cpu_bound
202,1,512,148,0.08,6.20,973,0.23,8.47,943,0.03,5.52,803,0.22,8.32,1145,0.24,8.65,987,0.11,11.70,1048,0.30,14.44,1091,0.16,12.41,853,0.27,14.10,822,0.28,14.25,1177,0.16,12.37,1169,0.13,11.94,805,0.23,13.40,1127,0.18,12.69,1108,0.28,14.27,900,0.09,21.28,806,0.09,21.34,1032,0.07,21.07,874,0.19,22.91,1009,0.27,24.08,1069,3,10.00,141.96,cpu_bound
203,2,1024,168,0.10,6.45,818,0.19,7.80,811,0.10,6.52,838,0.03,5.47,633,0.25,8.70,1137,0.12,11.75,1048,0.14,12.14,921,0.12,11.81,919,0.05,10.68,1160,0.22,13.33,866,0.16,12.40,837,0.23,13.39,1050,0.11,11.63,1068,0.19,12.90,1179,0.08,11.22,1098,0.30,24.47,1106,0.03,20.46,1009,0.15,22.29,884,0.02,20.29,813,0.01,20.19,922,4,5.00,159.59,cpu_bound
204,1,2048,236,0.03,5.41,1119,0.23,8.47,1071,0.22,8.28,989,0.01,5.18,920,0.09,6.40,1126,0.21,13.08,975,0.04,10.61,909,0.11,11.59,903,0.07,10.98,860,0.02,10.37,952,0.07,11.09,924,0.16,12.35,1198,0.24,13.64,1132,0.09,11.42,819,0.02,10.34,1172,0.04,20.57,985,0.13,21.97,836,0.14,22.15,949,0.08,21.19,913,0.11,21.60,857,4,50.00,228.61,io_bound
205,1,512,271,0.23,8.52,1081,0.09,6.33,1188,0.23,8.39,829,0.05,5.74,901,0.28,9.22,993,0.14,12.13,1028,0.21,13.19,965,0.16,12.36,829,0.19,12.91,1138,0.27,14.12,991,0.17,12.50,1119,0.14,12.15,1040,0.25,13.82,930,0.25,13.73,1098,0.18,12.64,1176,0.23,23.51,950,0.21,23.15,983,0.08,21.14,1159,0.04,20.54,1189,0.22,23.31,1100,4,50.00,235.02,io_bound
206,1,4096,120,0.25,8.82,921,0.16,7.37,950,0.14,7.10,1120,0.28,9.13,855,0.25,8.71,828,0.21,13.14,935,0.26,13.95,925,0.14,12.13,1060,0.29,14.29,989,0.04,10.57,1015,0.02,10.33,755,0.25,13.73,962,0.29,14.29,1088,0.16,12.43,1160,0.10,11.47,975,0.09,21.32,879,0.06,20.92,1019,0.21,23.11,847,0.25,23.72,804,0.15,22.18,822,11,10.00,109.76,cpu_bound
207,1,512,160,0.21,8.08,1008,0.29,9.31,962,0.25,8.72,1084,0.02,5.30,1115,0.01,5.13,1019,0.12,11.82,1113,0.07,11.07,1157,0.01,10.12,1088,0.02,10.25,883,0.05,10.80,1003,0.11,11.59,875,0.14,12.15,997,0.11,11.66,1090,0.26,13.91,910,0.02,10.34,1101,0.28,24.27,873,0.02,20.25,937,0.22,23.34,912,0.04,20.54,1157,0.17,22.49,833,5,150.00,152.70,mixed
208,2,512,112,0.24,8.59,1103,0.21,8.13,1051,0.09,6.36,839,0.22,8.26,865,0.17,7.56,987,0.00,10.02,906,0.20,13.07,833,0.18,12.77,916,0.03,10.44,1028,0.11,11.64,946,0.30,14.49,1156,0.07,11.06,1049,0.14,12.08,1148,0.02,10.34,809,0.24,13.65,1062,0.12,21.81,1066,0.02,20.31,1095,0.25,23.71,1153,0.07,21.00,1144,0.17,22.53,876,6,75.00,110.36,mixed
209,1,4096,143,0.27,9.12,1110,0.17,7.61,1067,0.13,6.94,1043,0.21,8.08,999,0.09,6.36,927,0.27,14.05,1161,0.16,12.35,1040,0.18,12.72,1026,0.23,13.49,1180,0.23,13.46,1018,0.07,11.09,807,0.12,11.73,1050,0.15,12.32,869,0.10,11.49,1143,0.30,14.43,1056,0.27,24.08,813,0.20,23.00,1126,0.27,24.04,1190,0.02,20.27,1027,0.20,23.02,925,19,50.00,130.31,io_bound
210,1,2048,162,0.17,7.61,1173,0.20,8.00,844,0.07,6.10,996,0.26,8.97,933,0.01,5.12,693,0.05,10.70,972,0.06,10.88,970,0.14,12.10,1006,0.02,10.37,1001,0.16,12.41,969,0.19,12.91,903,0.17,12.60,1017,0.27,13.98,1099,0.00,10.05,1020,0.26,13.95,828,0.30,24.48,810,0.24,23.62,1034,0.16,22.39,870,0.06,20.93,1059,0.05,20.76,1117,5,150.00,150.79,mixed
211,1,1024,133,0.21,8.10,933,0.23,8.38,1085,0.01,5.15,914,0.03,5.39,1153,0.27,9.10,1198,0.17,12.50,983,0.06,10.84,1143,0.23,13.50,1165,0.05,10.72,809,0.15,12.18,883,0.29,14.36,866,0.22,13.24,865,0.19,12.86,832,0.12,11.84,1110,0.19,12.84,1138,0.01,20.21,859,0.21,23.18,915,0.27,24.07,1039,0.27,24.00,1037,0.04,20.67,1109,3,10.00,123.58,cpu_bound
214,1,512,97,0.11,6.63,1069,0.22,8.27,949,0.10,6.54,1179,0.00,5.06,773,0.21,8.14,805,0.21,13.08,1136,0.02,10.34,1114,0.27,14.07,891,0.15,12.21,1152,0.14,12.09,1153,0.28,14.15,936,0.26,13.94,908,0.16,12.34,899,0.19,12.88,1035,0.28,14.18,1072,0.23,23.52,836,0.01,20.11,1172,0.07,21.01,936,0.22,23.31,1081,0.28,24.13,1150,4,50.00,92.44,io_bound
220,2,1024,241,0.24,8.64,1098,0.24,8.63,862,0.04,5.62,1055,0.08,6.27,1139,0.30,9.43,1093,0.07,11.08,1190,0.14,12.05,936,0.06,10.89,1055,0.26,13.91,1132,0.07,11.02,970,0.12,11.87,1100,0.26,13.89,939,0.27,14.08,1145,0.01,10.18,701,0.05,10.79,817,0.25,23.77,932,0.18,22.74,1076,0.18,22.72,983,0.18,22.67,961,0.17,22.53,974,14,75.00,235.41,mixed
221,2,1024,289,0.07,6.11,955,0.09,6.34,1136,0.22,8.25,1016,0.03,5.45,842,0.24,8.56,873,0.18,12.74,997,0.22,13.36,1152,0.30,14.47,803,0.26,13.86,1159,0.25,13.73,873,0.02,10.31,879,0.29,14.40,966,0.08,11.17,1148,0.24,13.53,1173,0.21,13.20,978,0.01,20.16,862,0.18,22.67,1033,0.21,23.12,1184,0.23,23.44,931,0.23,23.40,1087,4,75.00,257.72,mixed
224,2,2048,152,0.08,6.22,1069,0.19,7.78,967,0.09,6.34,1063,0.27,9.00,1188,0.09,6.33,929,0.21,13.16,973,0.01,10.20,867,0.04,10.57,879,0.28,14.17,1148,0.19,12.91,1166,0.15,12.28,997,0.17,12.48,1156,0.26,13.95,949,0.23,13.39,899,0.25,13.68,1014,0.15,22.32,1108,0.09,21.36,1084,0.28,24.17,1171,0.20,22.96,944,0.00,20.06,1014,7,5.00,135.55,cpu_bound
227,1,2048,189,0.22,8.25,810,0.05,5.69,872,0.15,7.29,1127,0.24,8.67,939,0.28,9.27,1055,0.20,13.04,1194,0.21,13.10,969,0.25,13.70,1123,0.03,10.52,1091,0.28,14.14,879,0.05,10.70,1008,0.01,10.19,700,0.22,13.34,1144,0.03,10.50,949,0.13,11.91,1067,0.10,21.57,1127,0.22,23.32,1153,0.06,20.93,1122,0.02,20.30,1194,0.14,22.15,837,12,150.00,176.72,mixed
228,1,1024,108,0.14,7.15,1137,0.03,5.48,755,0.22,8.36,1021,0.13,7.01,892,0.07,6.09,1197,0.05,10.70,810,0.27,14.03,1051,0.12,11.74,978,0.15,12.29,1137,0.16,12.39,907,0.25,13.72,1039,0.17,12.54,1088,0.05,10.68,994,0.19,12.87,1181,0.21,13.22,984,0.20,23.04,828,0.02,20.27,1110,0.22,23.24,852,0.16,22.34,853,0.12,21.73,827,2,50.00,98.96,io_bound
232,1,512,133,0.26,8.87,849,0.29,9.33,1175,0.05,5.82,898,0.17,7.52,944,0.14,7.13,1164,0.07,11.11,914,0.23,13.49,1127,0.16,12.41,901,0.20,13.01,1136,0.08,11.25,843,0.02,10.27,766,0.11,11.69,1099,0.11,11.66,1067,0.08,11.15,1157,0.18,12.74,1063,0.02,20.31,1033,0.23,23.43,1087,0.13,21.96,805,0.29,24.42,919,0.26,23.92,1168,11,10.00,119.40,cpu_bound
233,2,2048,125,0.08,6.20,1132,0.26,8.89,1131,0.22,8.32,969,0.22,8.29,1006,0.06,5.93,1087,0.26,13.83,927,0.29,14.28,1108,0.10,11.56,897,0.18,12.77,1130,0.00,10.01,950,0.27,14.06,1196,0.02,10.34,1017,0.27,14.08,1073,0.06,10.91,915,0.17,12.51,1081,0.14,22.06,847,0.06,20.89,821,0.19,22.82,847,0.07,21.09,982,0.06,20.93,835,10,75.00,123.46,mixed
235,1,1024,230,0.14,7.17,1011,0.27,9.06,867,0.25,8.70,892,0.02,5.35,632,0.13,6.92,934,0.28,14.19,842,0.18,12.66,954,0.02,10.27,1194,0.30,14.43,865,0.26,13.85,1047,0.07,11.08,928,0.30,14.48,1074,0.06,10.92,1083,0.28,14.20,899,0.23,13.44,988,0.11,21.62,926,0.26,23.93,974,0.11,21.67,916,0.23,23.52,800,0.08,21.19,952,4,50.00,202.69,io_bound
236,2,512,239,0.10,6.52,934,0.11,6.60,848,0.28,9.24,952,0.05,5.76,1170,0.08,6.18,968,0.07,11.04,1048,0.26,13.90,1120,0.18,12.72,877,0.15,12.21,1125,0.26,13.97,958,0.25,13.78,1088,0.27,14.00,948,0.29,14.36,1047,0.01,10.22,564,0.24,13.54,1057,0.18,22.68,899,0.08,21.20,1033,0.05,20.73,1023,0.24,23.64,919,0.10,21.45,1141,14,5.00,214.26,cpu_bound
238,2,1024,90,0.23,8.44,1161,0.12,6.84,1047,0.00,5.05,889,0.19,7.92,885,0.07,6.12,1011,0.27,14.08,1089,0.21,13.09,897,0.25,13.73,1157,0.17,12.55,1189,0.22,13.23,1124,0.30,14.46,1184,0.25,13.82,876,0.21,13.15,885,0.27,14.09,1054,0.03,10.41,1025,0.10,21.44,1118,0.13,22.00,1132,0.02,20.32,852,0.04,20.54,810,0.25,23.71,847,3,25.00,84.70,io_bound
239,1,4096,275,0.24,8.66,1036,0.09,6.39,1184,0.22,8.23,1086,0.24,8.67,831,0.01,5.20,741,0.13,11.89,861,0.24,13.65,1171,0.02,10.27,833,0.21,13.20,1113,0.15,12.22,814,0.06,10.96,991,0.09,11.35,1061,0.03,10.41,821,0.12,11.82,800,0.24,13.61,901,0.19,22.90,1161,0.04,20.56,1029,0.08,21.23,903,0.10,21.54,835,0.19,22.81,946,5,50.00,255.16,io_bound
241,1,2048,283,0.19,7.91,946,0.23,8.52,1143,0.27,9.09,949,0.15,7.19,999,0.22,8.35,974,0.07,11.12,972,0.17,12.54,899,0.17,12.58,858,0.04,10.55,935,0.27,14.07,1074,0.08,11.17,1014,0.01,10.08,1014,0.00,10.06,905,0.13,11.93,907,0.06,10.92,1062,0.06,20.91,1164,0.09,21.35,1174,0.12,21.74,1160,0.04,20.65,805,0.22,23.31,1158,13,10.00,270.22,cpu_bound
242,2,4096,275,0.04,5.66,831,0.28,9.27,1155,0.13,6.96,931,0.23,8.49,1152,0.10,6.47,1077,0.18,12.75,1020,0.16,12.45,973,0.02,10.28,913,0.09,11.30,865,0.13,11.88,939,0.29,14.41,1124,0.21,13.21,810,0.06,10.94,1179,0.15,12.19,1195,0.04,10.54,1196,0.29,24.32,879,0.13,21.88,913,0.25,23.68,856,0.07,21.04,1122,0.11,21.62,864,8,5.00,255.44,cpu_bound
243,2,512,80,0.24,8.60,1000,0.21,8.10,926,0.15,7.21,952,0.23,8.50,891,0.16,7.46,966,0.21,13.17,1125,0.11,11.72,1060,0.02,10.26,900,0.26,13.85,885,0.29,14.29,1058,0.05,10.75,912,0.21,13.20,876,0.04,10.66,814,0.27,14.07,984,0.27,14.03,940,0.19,22.85,864,0.13,21.95,951,0.09,21.28,1094,0.09,21.40,835,0.14,22.10,928,8,25.00,74.51,io_bound
244,1,2048,262,0.27,9.00,831,0.24,8.54,891,0.06,5.90,1079,0.24,8.64,1168,0.14,7.08,863,0.09,11.32,930,0.19,12.85,928,0.25,13.70,1088,0.17,12.51,1102,0.14,12.07,837,0.22,13.26,924,0.03,10.41,872,0.08,11.19,933,0.03,10.44,860,0.09,11.39,973,0.07,21.09,1107,0.29,24.41,936,0.05,20.82,1004,0.02,20.35,931,0.28,24.24,857,12,50.00,229.65,io_bound
245,2,512,266,0.16,7.39,978,0.23,8.45,1168,0.22,8.30,801,0.24,8.64,853,0.26,8.85,1096,0.21,13.13,979,0.27,14.05,869,0.28,14.25,868,0.24,13.55,901,0.14,12.17,1077,0.04,10.57,989,0.03,10.42,648,0.07,11.08,1115,0.09,11.42,891,0.29,14.35,937,0.19,22.78,1171,0.03,20.50,1005,0.04,20.59,990,0.00,20.04,995,0.07,21.12,988,12,75.00,244.53,mixed
246,2,4096,77,0.27,8.99,1096,0.00,5.05,782,0.01,5.22,1062,0.10,6.45,1182,0.23,8.52,1116,0.05,10.73,937,0.09,11.34,1137,0.26,13.92,1192,0.20,13.01,1198,0.29,14.42,1125,0.16,12.37,860,0.05,10.72,1171,0.16,12.34,1105,0.23,13.47,854,0.01,10.08,909,0.13,21.98,904,0.09,21.30,916,0.22,23.25,1077,0.10,21.46,1131,0.15,22.26,1093,2,25.00,73.38,io_bound
249,1,1024,61,0.01,5.13,1085,0.20,8.00,872,0.11,6.58,890,0.07,6.12,1039,0.29,9.34,924,0.06,10.83,1095,0.11,11.60,1113,0.01,10.22,1049,0.05,10.68,1188,0.17,12.49,1183,0.06,10.94,1167,0.05,10.82,1002,0.18,12.63,993,0.14,12.06,847,0.28,14.27,1100,0.17,22.61,1179,0.05,20.78,1010,0.05,20.78,1063,0.15,22.18,1149,0.14,22.11,830,1,50.00,59.28,io_bound
253,2,512,166,0.15,7.25,874,0.15,7.32,905,0.24,8.57,1040,0.17,7.48,1026,0.12,6.85,936,0.28,14.16,1047,0.29,14.37,812,0.23,13.44,939,0.21,13.08,1010,0.12,11.77,880,0.30,14.43,1124,0.28,14.15,990,0.14,12.07,1016,0.08,11.25,939,0.14,12.10,807,0.28,24.23,1058,0.07,21.08,855,0.16,22.33,1146,0.01,20.21,1028,0.30,24.48,865,19,25.00,162.16,io_bound
254,1,4096,224,0.17,7.52,854,0.07,6.06,1172,0.26,8.84,819,0.06,5.88,1001,0.08,6.16,838,0.02,10.33,1022,0.30,14.47,1156,0.10,11.56,1075,0.02,10.29,710,0.25,13.70,863,0.26,13.83,800,0.26,13.83,1037,0.25,13.74,1150,0.26,13.89,974,0.15,12.18,1172,0.00,20.06,851,0.06,20.89,900,0.21,23.09,923,0.06,20.88,1067,0.23,23.51,927,9,50.00,208.99,io_bound
255,1,2048,235,0.13,6.97,807,0.02,5.37,816,0.20,8.03,945,0.23,8.44,1129,0.20,7.99,1075,0.23,13.47,895,0.20,13.02,877,0.24,13.61,888,0.12,11.78,1165,0.11,11.72,833,0.13,11.91,943,0.21,13.10,967,0.07,10.98,1048,0.09,11.37,812,0.19,12.85,858,0.12,21.84,1033,0.17,22.48,903,0.29,24.40,870,0.24,23.64,914,0.02,20.25,1018,2,50.00,207.54,io_bound
257,1,4096,247,0.15,7.32,1127,0.13,6.90,1176,0.07,6.08,956,0.27,9.12,815,0.14,7.07,835,0.24,13.58,837,0.18,12.67,1127,0.04,10.59,728,0.21,13.22,915,0.13,11.92,1198,0.18,12.75,1027,0.23,13.40,878,0.24,13.55,927,0.28,14.25,1187,0.23,13.44,996,0.13,21.98,1095,0.05,20.70,883,0.26,23.93,1173,0.19,22.79,1037,0.06,20.94,1011,8,150.00,229.19,mixed
258,2,2048,60,0.16,7.34,1130,0.25,8.78,1088,0.07,6.09,1100,0.09,6.38,800,0.19,7.91,978,0.25,13.75,1176,0.08,11.25,982,0.28,14.17,1035,0.21,13.09,1090,0.04,10.65,888,0.26,13.89,817,0.05,10.82,984,0.17,12.55,911,0.14,12.10,1041,0.08,11.13,956,0.04,20.65,1084,0.06,20.83,971,0.08,21.17,999,0.00,20.04,815,0.30,24.49,931,19,5.00,54.89,cpu_bound
260,1,4096,106,0.27,9.00,1128,0.01,5.08,951,0.18,7.63,1122,0.11,6.62,1121,0.10,6.49,1194,0.20,12.98,827,0.05,10.73,1124,0.22,13.34,878,0.15,12.26,962,0.24,13.54,872,0.11,11.64,1092,0.25,13.68,1165,0.26,13.83,946,0.20,13.07,1022,0.08,11.23,1056,0.01,20.17,1162,0.16,22.34,972,0.10,21.50,1024,0.02,20.28,1019,0.20,23.06,996,2,50.00,100.45,io_bound
261,1,4096,290,0.05,5.76,736,0.29,9.42,1057,0.28,9.16,987,0.08,6.14,889,0.22,8.36,1022,0.23,13.38,1095,0.08,11.26,916,0.23,13.40,1160,0.19,12.86,896,0.07,11.09,1178,0.09,11.40,873,0.07,11.01,1150,0.26,13.95,1123,0.09,11.33,1135,0.17,12.49,1134,0.28,24.18,964,0.03,20.39,835,0.20,22.94,1108,0.14,22.11,1039,0.27,24.00,929,1,50.00,248.21,io_bound
262,2,2048,102,0.04,5.56,829,0.08,6.23,1116,0.29,9.33,1011,0.18,7.76,920,0.08,6.25,1113,0.21,13.12,802,0.03,10.41,951,0.29,14.32,1133,0.17,12.54,1191,0.09,11.40,1068,0.02,10.32,924,0.14,12.09,841,0.04,10.53,869,0.24,13.62,1016,0.18,12.69,1101,0.04,20.64,1097,0.13,21.98,881,0.00,20.01,1097,0.20,23.05,876,0.20,23.00,1078,1,25.00,91.40,io_bound
263,1,512,169,0.02,5.34,699,0.24,8.66,888,0.05,5.68,1083,0.22,8.29,1169,0.02,5.37,915,0.08,11.27,1140,0.10,11.47,1001,0.24,13.60,804,0.19,12.85,1197,0.06,10.90,1016,0.23,13.50,976,0.06,10.84,1199,0.03,10.39,803,0.22,13.27,1143,0.20,13.06,1078,0.29,24.30,1053,0.30,24.46,873,0.01,20.13,925,0.27,24.06,1149,0.13,21.88,995,1,50.00,159.94,io_bound
264,1,1024,279,0.06,5.89,1091,0.13,7.00,1102,0.08,6.16,1150,0.20,8.02,1194,0.11,6.64,1089,0.02,10.29,956,0.22,13.30,908,0.00,10.03,841,0.20,12.99,1016,0.07,11.10,1106,0.18,12.69,1187,0.28,14.19,1112,0.20,13.03,973,0.01,10.18,1089,0.30,14.43,915,0.21,23.08,1035,0.22,23.29,1150,0.03,20.52,812,0.14,22.11,992,0.19,22.78,1099,8,10.00,276.95,cpu_bound
266,1,2048,196,0.14,7.06,853,0.00,5.01,957,0.16,7.42,989,0.13,6.99,1011,0.28,9.16,941,0.03,10.50,1115,0.23,13.38,1038,0.06,10.97,922,0.12,11.76,1195,0.20,13.00,875,0.02,10.28,865,0.09,11.35,1070,0.04,10.66,1009,0.07,10.99,1061,0.18,12.66,1177,0.26,23.89,969,0.27,24.11,1002,0.22,23.29,810,0.05,20.76,953,0.29,24.31,1065,2,50.00,193.79,io_bound
267,1,2048,104,0.01,5.09,877,0.18,7.67,1149,0.29,9.35,802,0.08,6.22,965,0.28,9.25,953,0.08,11.21,1026,0.03,10.39,994,0.12,11.81,1197,0.06,10.88,1054,0.24,13.67,1040,0.22,13.32,884,0.16,12.40,926,0.16,12.40,1059,0.12,11.73,925,0.15,12.26,930,0.18,22.75,1086,0.27,24.01,1185,0.00,20.04,805,0.25,23.75,916,0.09,21.38,1073,1,10.00,97.44,cpu_bound
270,1,4096,116,0.19,7.86,887,0.13,6.99,1084,0.14,7.14,928,0.13,7.00,994,0.09,6.37,1133,0.13,11.89,881,0.01,10.11,984,0.21,13.10,1120,0.18,12.73,927,0.14,12.10,1145,0.16,12.45,948,0.09,11.36,1052,0.10,11.43,1169,0.26,13.86,915,0.10,11.45,1031,0.02,20.25,1020,0.01,20.21,1163,0.13,21.98,995,0.16,22.34,1078,0.14,22.13,978,7,150.00,109.16,mixed
271,1,2048,149,0.08,6.23,1043,0.17,7.58,1067,0.04,5.56,846,0.07,6.06,1000,0.09,6.35,1084,0.28,14.27,1198,0.10,11.51,1167,0.12,11.84,871,0.15,12.20,926,0.27,14.10,854,0.21,13.16,1015,0.23,13.42,1056,0.17,12.48,812,0.26,13.86,1189,0.17,12.53,818,0.21,23.18,1147,0.26,23.91,952,0.27,23.98,846,0.02,20.30,1139,0.20,23.01,815,3,50.00,136.28,io_bound
273,2,2048,118,0.10,6.50,1129,0.15,7.27,851,0.01,5.11,894,0.16,7.46,1061,0.26,8.88,848,0.04,10.65,893,0.06,10.93,1147,0.07,11.09,982,0.16,12.40,1095,0.22,13.35,958,0.24,13.58,971,0.05,10.82,885,0.06,10.90,878,0.19,12.80,1007,0.28,14.14,1183,0.27,24.06,978,0.03,20.40,846,0.05,20.78,1113,0.11,21.63,1029,0.04,20.64,838,3,25.00,111.47,io_bound
274,2,2048,181,0.25,8.80,896,0.04,5.55,1116,0.07,6.12,964,0.04,5.65,1194,0.22,8.23,877,0.04,10.63,899,0.04,10.55,817,0.30,14.43,1158,0.00,10.02,920,0.17,12.57,827,0.23,13.48,961,0.12,11.81,1088,0.14,12.13,907,0.13,11.95,1168,0.11,11.65,870,0.01,20.14,969,0.04,20.55,1100,0.00,20.03,1198,0.16,22.36,1022,0.19,22.89,1109,9,5.00,168.22,cpu_bound
275,1,512,98,0.04,5.66,1162,0.01,5.15,767,0.21,8.16,896,0.14,7.12,898,0.25,8.69,1158,0.15,12.32,876,0.02,10.35,1054,0.24,13.60,842,0.27,14.05,811,0.28,14.21,1015,0.17,12.54,945,0.11,11.62,843,0.05,10.81,872,0.26,13.96,930,0.10,11.54,881,0.01,20.22,849,0.13,21.88,1159,0.16,22.33,1148,0.27,24.12,952,0.02,20.27,1097,2,10.00,93.12,cpu_bound
277,1,512,237,0.19,7.91,1097,0.29,9.41,1132,0.09,6.35,1139,0.09,6.40,1187,0.11,6.66,1006,0.05,10.78,1185,0.29,14.31,805,0.24,13.63,903,0.07,11.09,1181,0.22,13.31,1054,0.07,11.02,804,0.10,11.48,1152,0.29,14.30,905,0.30,14.43,845,0.02,10.34,660,0.28,24.16,1026,0.28,24.22,1047,0.01,20.19,877,0.05,20.75,1037,0.27,24.04,912,15,150.00,217.18,mixed
278,2,2048,257,0.10,6.56,926,0.17,7.61,909,0.15,7.30,847,0.10,6.45,1137,0.30,9.49,1012,0.21,13.11,1052,0.01,10.18,889,0.08,11.19,995,0.17,12.59,915,0.16,12.42,1000,0.05,10.78,864,0.15,12.29,942,0.14,12.03,851,0.03,10.52,968,0.00,10.03,579,0.02,20.33,837,0.15,22.30,1002,0.06,20.91,955,0.14,22.14,1110,0.05,20.72,980,15,75.00,256.43,mixed
279,1,4096,98,0.01,5.20,1028,0.27,9.11,817,0.28,9.24,928,0.12,6.80,1002,0.30,9.47,1008,0.12,11.84,888,0.16,12.35,866,0.28,14.23,1127,0.03,10.38,951,0.14,12.09,1164,0.25,13.71,992,0.12,11.74,1091,0.09,11.34,1068,0.19,12.80,959,0.17,12.57,974,0.04,20.56,836,0.13,21.96,896,0.20,23.00,1173,0.17,22.48,972,0.01,20.09,893,1,50.00,87.44,io_bound
281,1,1024,268,0.13,6.97,1111,0.25,8.80,818,0.03,5.38,919,0.22,8.24,1045,0.05,5.72,853,0.11,11.71,1001,0.02,10.34,1153,0.05,10.81,1058,0.08,11.16,988,0.03,10.45,876,0.20,12.95,916,0.21,13.11,850,0.22,13.34,1094,0.24,13.66,917,0.11,11.65,1146,0.11,21.71,1133,0.15,22.27,1003,0.06,20.90,833,0.16,22.45,1125,0.03,20.40,1040,3,50.00,241.24,io_bound
282,2,1024,229,0.29,9.36,1059,0.25,8.74,1192,0.02,5.30,757,0.17,7.62,1132,0.07,6.10,919,0.05,10.79,1174,0.10,11.48,1159,0.07,11.03,1002,0.27,14.12,1176,0.26,13.97,1015,0.02,10.30,1090,0.26,13.94,1090,0.05,10.76,958,0.27,14.04,1029,0.22,13.27,953,0.24,23.53,859,0.15,22.25,995,0.10,21.52,919,0.05,20.73,1166,0.23,23.47,1057,3,5.00,216.53,cpu_bound
285,1,2048,253,0.12,6.87,1080,0.06,5.85,1157,0.00,5.01,777,0.15,7.21,1092,0.20,7.96,1137,0.26,13.94,1097,0.14,12.13,984,0.29,14.35,1031,0.12,11.86,1078,0.04,10.54,873,0.06,10.84,944,0.06,10.88,1017,0.24,13.62,941,0.14,12.04,849,0.19,12.81,869,0.12,21.74,1010,0.10,21.56,971,0.06,20.91,870,0.06,20.84,1059,0.25,23.70,1178,3,150.00,235.91,mixed
286,2,1024,59,0.18,7.76,856,0.12,6.84,932,0.28,9.26,1000,0.02,5.37,1136,0.22,8.33,962,0.13,12.01,1133,0.18,12.67,912,0.07,11.08,896,0.22,13.27,1198,0.11,11.61,958,0.03,10.45,961,0.04,10.56,966,0.02,10.28,821,0.19,12.91,819,0.29,14.40,1152,0.22,23.27,1102,0.23,23.45,1015,0.26,23.96,1006,0.21,23.20,987,0.20,23.01,971,4,75.00,56.16,mixed
287,1,1024,168,0.05,5.70,983,0.15,7.20,1067,0.27,9.02,1060,0.02,5.35,819,0.21,8.11,1149,0.26,13.92,985,0.21,13.17,964,0.28,14.13,838,0.17,12.57,1181,0.16,12.33,859,0.14,12.05,952,0.19,12.79,886,0.14,12.17,1075,0.17,12.57,1003,0.28,14.18,1064,0.24,23.65,918,0.15,22.25,862,0.21,23.17,956,0.12,21.81,968,0.19,22.80,1082,4,10.00,161.22,cpu_bound
289,1,1024,297,0.01,5.10,900,0.15,7.23,1084,0.17,7.55,1157,0.08,6.21,874,0.09,6.34,1123,0.17,12.57,1137,0.25,13.74,971,0.16,12.44,987,0.23,13.41,913,0.00,10.02,831,0.21,13.22,1024,0.13,11.94,874,0.08,11.19,1042,0.24,13.56,840,0.18,12.69,1153,0.16,22.45,1172,0.17,22.59,990,0.11,21.68,889,0.01,20.22,1110,0.29,24.34,1041,1,150.00,282.21,mixed
290,1,4096,259,0.06,5.88,977,0.14,7.14,928,0.01,5.17,632,0.15,7.30,927,0.30,9.49,1017,0.06,10.95,998,0.02,10.37,1110,0.02,10.29,1161,0.13,11.99,1134,0.23,13.51,1019,0.08,11.24,1004,0.04,10.60,978,0.23,13.47,1103,0.21,13.20,1098,0.04,10.63,1079,0.25,23.80,899,0.17,22.55,1103,0.13,21.95,891,0.26,23.89,1179,0.13,22.02,1130,3,150.00,246.37,mixed
